,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
263,Catherine McAuley College,Secondary,BENDIGO,3550,54143.0,BENDIGO,29.0,6.2
264,Weeroona College Bendigo,Secondary,BENDIGO,3552,,,,
265,Bendigo Senior Secondary College,Secondary,BENDIGO,3552,,,,
266,Crusoe 7-10 Secondary College,Secondary,KANGAROO FLAT,3555,51114.0,,,
267,Eaglehawk Secondary College,Secondary,EAGLEHAWK,3556,48910.0,,,
268,Rochester Secondary College,Secondary,ROCHESTER,3561,47891.0,ROCHESTER,31.0,4.2
269,Echuca College,Secondary,ECHUCA,3564,50340.0,ECHUCA,27.0,2.0
270,St Joseph's College,Secondary,ECHUCA,3564,50340.0,ECHUCA,29.0,3.6
271,St Joseph's College,Secondary,ECHUCA,3564,50340.0,FERNTREE GULLY,32.0,7.9
272,St Joseph's College,Secondary,ECHUCA,3564,50340.0,MILDURA,29.0,4.2
273,St Joseph's College,Secondary,ECHUCA,3564,50340.0,NEWTOWN,31.0,8.8
274,Cohuna Secondary College,Secondary,COHUNA,3568,46986.0,COHUNA,27.0,2.7
275,Kerang Technical High School,Secondary,KERANG,3579,44221.0,KERANG,28.0,6.5
276,Swan Hill College,Secondary,SWAN HILL,3585,48911.0,SWAN HILL,27.0,1.4
277,St Mary MacKillop College,Secondary,SWAN HILL,3585,48911.0,SWAN HILL,28.0,2.8
278,Greater Shepparton Secondary College,Secondary,SHEPPARTON,3630,48998.0,,,
279,Notre Dame College,Secondary,SHEPPARTON,3630,48998.0,SHEPPARTON,28.0,4.1
280,Shepparton ACE Secondary College,Secondary,SHEPPARTON,3630,48998.0,,,
281,Numurkah Secondary College,Secondary,NUMURKAH,3636,49516.0,NUMURKAH,24.0,0.0
282,Nathalia Secondary College,Secondary,NATHALIA,3638,47446.0,NATHALIA,28.0,0.0
283,St Mary of the Angels College,Secondary,NATHALIA,3638,47446.0,,,
284,Cobram Secondary College,Secondary,COBRAM,3644,48339.0,COBRAM,26.0,0.9
285,Broadford Secondary College,Secondary,BROADFORD,3658,57282.0,BROADFORD,28.0,2.7
286,Euroa Secondary College,Secondary,EUROA,3666,48785.0,EUROA,27.0,3.3
287,FCJ College,Secondary,BENALLA,3672,50217.0,,,
288,Wangaratta High School,Secondary,WANGARATTA,3676,,WANGARATTA,26.0,3.9
289,Galen Catholic College,Secondary,WANGARATTA,3676,,,,
290,Rutherglen High School,Secondary,RUTHERGLEN,3685,51974.0,RUTHERGLEN,25.0,1.1
291,Catholic College Wodonga,Secondary,WODONGA,3689,,WODONGA,29.0,3.2
292,Wodonga Senior Secondary College,Secondary,WODONGA,3690,53698.0,,,
293,Mount Beauty Secondary College,Secondary,MOUNT BEAUTY,3699,45491.0,,,
294,Tallangatta Secondary College,Secondary,TALLANGATTA,3700,48239.0,TALLANGATTA,26.0,0.5
295,Rubicon Outdoor School,Secondary,THORNTON,3712,51202.0,,,
296,Alexandra Secondary College,Secondary,ALEXANDRA,3714,49870.0,ALEXANDRA,27.0,5.2
297,Yea High School,Secondary,YEA,3717,51386.0,YEA,26.0,5.0
298,Mansfield Secondary College,Secondary,MANSFIELD,3724,,MANSFIELD,29.0,1.3
299,Sacred Heart College,Secondary,YARRAWONGA,3730,49949.0,YARRAWONGA,28.0,3.4
300,Marian College,Secondary,MYRTLEFORD,3737,48539.0,,,
301,Beechworth Secondary College,Secondary,BEECHWORTH,3747,52145.0,BEECHWORTH,29.0,13.7
