School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Sirius College - Eastmeadows,BROADMEADOWS,32,11.6
Sirius College - Keysborough,KEYSBOROUGH,30,4.1
Sirius College - Meadow Fair,BROADMEADOWS,31,13.6
SkillsPlus,FRANKSTON,,
Somerville Secondary College,SOMERVILLE,25,0
South Oakleigh Sec College,OAKLEIGH SOUTH,29,2.7
South West Institute of TAFE,WARRNAMBOOL,,
Southern Cross Grammar,CAROLINE SPRINGS,29,6.4
Springside West Sec College,FRASER RISE,26,0
St Albans Secondary College,ST ALBANS,30,7.7
St Aloysius College,NORTH MELBOURNE,32,8.8
St Andrews Christian College,WANTIRNA SOUTH,33,13.9
St Arnaud Secondary College,ST ARNAUD,29,0
St Augustine's College,KYABRAM,26,1.2
St Bede's College,MENTONE,30,5.9
St Bernard's College,ESSENDON,30,6
St Brigid's College,HORSHAM,27,4.8
St Catherine's School,TOORAK,35,25
St Columba's College,ESSENDON,33,13.1
St Francis Xavier College,BEACONSFIELD,29,5.9
St Helena Secondary College,ELTHAM,29,5.8
St John's Greek Orth College,PRESTON,34,15
St John's Regional College,DANDENONG,25,1.3
St Joseph's College,ECHUCA,29,3.6
St Joseph's College,FERNTREE GULLY,32,7.9
St Joseph's College,MILDURA,29,4.2
St Joseph's College,NEWTOWN,31,8.8
St Kevin's College,TOORAK,35,25.9
St Leonard's College,BRIGHTON EAST,34,17.2
St Margaret's School,BERWICK,35,27.9
St Mary MacKillop College,SWAN HILL,28,2.8
St Mary of the Angels School,NATHALIA,28,3.3
St Mary's Coptic Orth College,COOLAROO,27,2.8
St Michael's Grammar School,ST KILDA,32,12.7
St Monica's College,EPPING,28,3.5
St Patrick's College,BALLARAT,28,4.7
St Paul's Anglican Grammar Schl,WARRAGUL,34,18.1
St Peter's College,CRANBOURNE,27,0.8
St Thomas Aquinas College,TYNONG,27,2
Star of the Sea College,BRIGHTON,34,16.9
Staughton College,MELTON SOUTH,27,3.1
Stawell Secondary College,STAWELL,25,2.4
Stott's College,MELBOURNE,23,0
Strathcona Baptist Girls GS,CANTERBURY,36,28.2
Strathmore Secondary College,STRATHMORE,30,5.3
Sunbury College,SUNBURY,25,1.7
Sunbury Downs Sec College,SUNBURY,28,5.6
Sunraysia Institute of TAFE,MILDURA,,
Sunshine College,SUNSHINE WEST,27,2
Surf Coast Sec College,TORQUAY,28,2.5
Suzanne Cory High School,WERRIBEE,34,19
Swan Hill College,SWAN HILL,27,1.4
Swifts Creek P-12 School,SWIFTS CREEK,24,3.8
Swinburne Senior Sec College,HAWTHORN,29,3.2
Swinburne Uni of Tech - TAFE,CROYDON,23,0
Sydney Road Community School,BRUNSWICK,25,0
TAFE Gippsland,NEWBOROUGH,28,7.7
Tallangatta Secondary College,TALLANGATTA,26,0.5
Tarneit Senior College,TARNEIT,24,1.3
Taylors Lakes Sec College,TAYLORS LAKES,27,3.9
Templestowe College,TEMPLESTOWE LOWE,30,6.4
Terang College Sec Campus,TERANG,25,1.1
The David Scott School,FRANKSTON,,
The Geelong College,NEWTOWN,32,13
The Grange P-12 College,HOPPERS CROSSING,24,1.6
The Hamilton & Alexandra Coll,HAMILTON,30,4.7
The King David School,ARMADALE,36,26
The Knox School,WANTIRNA SOUTH,33,9.9
Thomas Carr College,TARNEIT,26,2.4
Thomastown Secondary College,THOMASTOWN,24,0.7
Thornbury High School,THORNBURY,30,3.6
Timboon P-12 School,TIMBOON,28,1
Tintern Grammar,RINGWOOD EAST,31,7.3
Toorak College,MOUNT ELIZA,35,20.3
Trafalgar High School,TRAFALGAR,26,0.9
Traralgon College,TRARALGON,26,1.7
Trinity College Colac,COLAC,28,4.7
Trinity Grammar School,KEW,35,24.3
Tyrrell College,SEA LAKE,34,12.2
University High School,PARKVILLE,32,13.3
Upper Yarra Secondary College,YARRA JUNCTION,27,1.5
Upwey High School,UPWEY,26,3.1
Vermont Secondary College,VERMONT,31,8.5
Victoria University Polytechnic,FOOTSCRAY,20,2.4
Victoria University SC,ST ALBANS,28,5
